CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"Phenol, 4,4'-(1-methylethylidene)bis-",80-05-7,80057,CASRN,"1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000"
"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane",25068-38-6,25068386,CASRN,"3,688,360","736,318","232,227","515,447"
"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane, 2-propenoate",55818-57-0,55818570,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane]",25036-25-3,25036253,CASRN,"25,305","110,139","250,932","219,530"
"Phenol, 4,4'-(1-methylethylidene)bis-, sodium salt (1:2)",2444-90-8,2444908,CASRN,"6,500,000","10,000,000","11,000,000","5,300,000"
"Phenol, 4,4'-(1-methylethylidene)bis[2-(2-propen-1-yl)-",1745-89-7,1745897,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,79947,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dimethyl-",5613-46-7,5613467,CASRN,0,"147,840","760,320","2,043,360"
"Phenol, 4,4'-(3,3,5-trimethylcyclohexylidene)bis-",129188-99-4,129188994,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phenol, 4,4'-(9H-fluoren-9-ylidene)bis[2,6-dibromo-",94854-03-2,94854032,CASRN,"50,000 – <250,000","<50,000","<50,000","<50,000"
"Phenol, 4,4',4''-(1-methyl-1-propanyl-3-ylidene)tris[2-(1,1-dimethylethyl)-5-methyl-",1843-03-4,1843034,CASRN,"400,000 – <550,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","700,000 – <850,000"
"Phenol, 4,4',4''-[(2,4,6-trimethyl-1,3,5-benzenetriyl)tris(methylene)]tris[2,6-bis(1,1-dimethylethyl)-",1709-70-2,1709702,CASRN,"1,000,000 – <2,500,000","1,000,000 – <5,000,000","5,000,000 – <10,000,000","1,000,000 – <5,000,000"
"Phenol, 4,4',4''-ethylidynetris-",27955-94-8,27955948,CASRN,"75,000 – <100,000","250,000 – <400,000","400,000 – <550,000","100,000 – <250,000"
"Phenol, 4,4'-[1-[4-[1-(4-hydroxyphenyl)-1-methylethyl]phenyl]ethylidene]bis-",110726-28-8,110726288,CASRN,"<50,000","<50,000","<50,000","<50,000"
"Phenol, 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis-",1478-61-1,1478611,CASRN,"250,000 – <400,000","250,000 – <400,000","250,000 – <400,000","100,000 – <250,000"
"Phenol, 4,4'-butylidenebis[2-(1,1-dimethylethyl)-5-methyl-",85-60-9,85609,CASRN,"100,000 – <250,000","250,000 – <400,000","400,000 – <550,000","400,000 – <550,000"
"Phenol, 4,4'-cyclohexylidenebis[2-methyl-",2362-14-3,2362143,CASRN,0,0,0,"200,000"
"Phenol, 4,4'-methylenebis[2,6-bis(1,1-dimethylethyl)-",118-82-1,118821,CASRN,"<25,000","<25,000","850,000 – <1,000,000","400,000 – <550,000"
"Phenol, 4,4'-methylenebis[2,6-dimethyl-",5384-21-4,5384214,CASRN,"<50,000","550,000 – <1,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phenol, 4,4'-sulfonylbis-",80-09-1,80091,CASRN,"2,500,000 – <4,000,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Phenol, 4,4'-sulfonylbis-, polymer with 1,1'-oxybis[2-chloroethane]",191680-83-8,191680838,CASRN,"35,259","20,741","63,735","62,223"
"Phenol, 4,4'-sulfonylbis[2-(2-propen-1-yl)-",41481-66-7,41481667,CASRN,"100,000 – <250,000","100,000 – <250,000","<50,000","550,000 – <1,000,000"
"Phenol, 4,4'-thiobis[2-(1,1-dimethylethyl)-5-methyl-",96-69-5,96695,CASRN,"100,000 – <250,000","700,000 – <850,000","400,000 – <550,000","550,000 – <700,000"
"Phenol, 4-[(alkyl)[4-(phenylsubstituted)phenylsubstituted]methyl]-2,6-bis(1,1-dimethylethyl)- (PROVISIONAL)",266514,266514,Accession Number,0,"<50,000","<50,000","<50,000"
"Phenol, 4-[(dimethylamino)methyl]-2,6-bis(1,1-dimethylethyl)-",88-27-7,88277,CASRN,"250,000 – <400,000","250,000 – <400,000","100,000 – <250,000","100,000 – <250,000"
"Phenol, 4-[[4-(1-methylethoxy)phenyl]sulfonyl]-",95235-30-6,95235306,CASRN,"482,000","102,821","104,145","92,593"
"Phenol, 4-[[4,6-bis(octylthio)-1,3,5-triazin-2-yl]amino]-2,6-bis(1,1-dimethylethyl)-",991-84-4,991844,CASRN,"250,000 – <400,000","1,000,000 – <2,500,000","400,000 – <550,000","550,000 – <700,000"
"Phenol, 4-amino-",123-30-8,123308,CASRN,"834,974","1,121,091","1,113,635","663,029"
"Phenol, 4-chloro-3,5-dimethyl-",88-04-0,88040,CASRN,"250,000 – <550,000","250,000 – <400,000","250,000 – <550,000","550,000 – <1,000,000"
"Phenol, 4-dodecyl-, branched",210555-94-5,210555945,CASRN,"25,000,000 – <75,000,000","25,000,000 – <75,000,000","25,000,000 – <75,000,000","25,000,000 – <75,000,000"
