CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"(Polyisobutenyl)dihydro-2,5-furandione reaction product with polyethyleneamines metal salt",24103,24103,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"(Polyisobutenyl)dihydro-2,5-furandione, reaction product with polyethyleneamines, hydroxyalkane and heteromonocycledithione",18805,18805,Accession Number,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
.alpha.-Amylase,9000-90-2,9000902,CASRN,0,0,153,0
.alpha.-Cyclodextrin,10016-20-3,10016203,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
".alpha.-Cyclodextrin, 2-hydroxypropyl ethers",128446-33-3,128446333,CASRN,"<25,000","100,000 – <250,000","250,000 – <400,000","400,000 – <550,000"
".alpha.-D-Galactopyranoside, 1,6-dichloro-1,6-dideoxy-.beta.-D-fructofuranosyl 4-chloro-4-deoxy-",56038-13-2,56038132,CASRN,0,"8,929",0,0
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl",57-50-1,57501,CASRN,"250,000 – <550,000","100,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, benzoate",12738-64-6,12738646,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, diacetate hexakis(2-methylpropanoate)",27216-37-1,27216371,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, octadecanoate",37318-31-3,37318313,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)",94441-92-6,94441926,CASRN,"400,000 – <550,000","400,000 – <550,000","550,000 – <700,000","250,000 – <400,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-[3-(decyloxy)propyl]-, sodium salt (1:1)",64972-19-6,64972196,CASRN,"50,000 – <250,000","50,000 – <250,000","550,000 – <1,000,000","50,000 – <250,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-[3-(octyloxy)propyl]-, sodium salt (1:1)",64972-18-5,64972185,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-[3-[(2-carboxyethyl)amino]propyl]-, N-[(isoalkyloxy)propyl]derivs. (PROVISIONAL)",177550,177550,Accession Number,"<50,000","<50,000","<50,000","<50,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","850,000 – <1,000,000","850,000 – <1,000,000"
".beta.-Alanine, N-[4-[2-(2-bromo-6-chloro-4-nitrophenyl)diazenyl]phenyl]-N-(3-methoxy-3-oxopropyl)-, methyl ester",59709-38-5,59709385,CASRN,0,"29,024",0,0
.beta.-Amylase,9000-91-3,9000913,CASRN,"42,528","108,901","10,242",0
.beta.-Cyclodextrin,7585-39-9,7585399,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
".beta.-Cyclodextrin, 2-hydroxypropyl ethers",128446-35-5,128446355,CASRN,"2,500,000 – <4,000,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000"
".beta.-Cyclodextrin, methyl ethers",128446-36-6,128446366,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","50,000 – <250,000"
".beta.-Cyclodextrin, polymer with 2,3,5,6-tetrafluoro-1,4-benzenedicarbonitrile, hydrolyzed, 2-(trimethylammonio)ethyl ethers, chlorides",2683011-63-2,2683011632,CASRN,"<50,000","<50,000","<50,000","<50,000"
.beta.-D-Glucopyranose,492-61-5,492615,CASRN,0,"7,000",0,0
"[1,1'-Biphenyl]-2,2'-diol, 3,3',5,5'-tetrakis(1,1-dimethylethyl)-",6390-69-8,6390698,CASRN,"33,350",0,0,0
"[1,1'-Biphenyl]-3,3',4,4'-tetramine",91-95-2,91952,CASRN,"140,461","221,027","134,879","31,130"
"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, hydrochloride (1:2)",612-83-9,612839,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, hydrochloride (1:2)",20325-40-0,20325400,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"[1,1'-Biphenyl]-4,4'-diol",92-88-6,92886,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"[1,1'-Biphenyl]-4-carboxamide, 4',4'''-(1,2-diazenediyl)bis[N-(9,10-dihydro-9,10-dioxo-1-anthracenyl)-",12227-50-8,12227508,CASRN,"17,874","24,733","24,603","25,727"
"[1,1'-Biphenyl]-4-ol",92-69-3,92693,CASRN,"75,000 – <500,000","<75,000","<75,000","<75,000"
"[2,2'-Bi-1H-indole]-3,3'-diol, potassium sodium salt (1:?:?)",207692-02-2,207692022,CASRN,"130,926","252,331","174,469","83,670"
"[2,2'-Bi-1H-indole]-3,3'-diol, sodium salt (1:2)",894-86-0,894860,CASRN,"<50,000","<50,000","50,000 – <250,000","<50,000"
"[5,5'-Biisobenzofuran]-1,1',3,3'-tetrone",2420-87-3,2420873,CASRN,"75,000 – <100,000","250,000 – <400,000","400,000 – <550,000","250,000 – <400,000"
"1(3H)-Isobenzofuranone, 3,3-bis(4-hydroxy-3-methylphenyl)-",596-27-0,596270,CASRN,"50,000 – <250,000","50,000 – <250,000","<50,000","<50,000"
"1(3H)-Isobenzofuranone, 3,3-bis[4-hydroxy-2-methyl-5-(1-methylethyl)phenyl]-",125-20-2,125202,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1(3H)-Isobenzofuranone, 6-(dimethylamino)-3,3-bis[4-(dimethylamino)phenyl]-",1552-42-7,1552427,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,1':2',1''-Terphenyl",84-15-1,84151,CASRN,"250,000 – <550,000","550,000 – <1,000,000","50,000 – <250,000","<50,000"
"1,1':3',1''-Terphenyl",92-06-8,92068,CASRN,"50,000 – <250,000","250,000 – <550,000","50,000 – <250,000","<50,000"
"1,10-Decanediol",112-47-0,112470,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,10-Phenanthroline",66-71-7,66717,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,1'-Biphenyl",92-52-4,92524,CASRN,"25,000,000 – <40,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000"
"1,1'-Biphenyl, bis(1-methylethyl)-",69009-90-1,69009901,CASRN,"1,746,900","3,051,000","5,643,900","3,018,600"
"1,1'-Biphenyl, tris(1-methylethyl)-",29225-91-0,29225910,CASRN,"97,050","169,500","313,550","167,700"
"1,1-Cyclopropanedicarboxylic acid, 1,1-dimethyl ester",6914-71-2,6914712,CASRN,"250,000 – <550,000","250,000 – <550,000","50,000 – <250,000","250,000 – <550,000"
"1,2,3,4-Butanetetracarboxylic acid, 1,2,3,4-tetrakis(1,2,2,6,6-pentamethyl-4-piperidinyl) ester",91788-83-9,91788839,CASRN,"250,000 – <400,000","100,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
"1,2,3,4-Butanetetracarboxylic acid, 1,2,3,4-tetrakis(2,2,6,6-tetramethyl-4-piperidinyl) ester",64022-61-3,64022613,CASRN,"5,291","45,084",0,0
"1,2,3,4-Butanetetrol, (2R,3S)-rel-",149-32-6,149326,CASRN,0,"167,551",0,0
"1,2,3-Benzenetriol",87-66-1,87661,CASRN,"121,440","30,360","121,440","60,720"
"1,2,3-Benzothiadiazole-7-carboxylic acid",35272-27-6,35272276,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2,3-Oxathiazin-4(3H)-one, 6-methyl-, 2,2-dioxide, potassium salt",55589-62-3,55589623,CASRN,165,0,0,"39,683"
"1,2,3-Propanetricarboxylic acid, 2-(1-oxobutoxy)-, 1,2,3-trihexyl ester",82469-79-2,82469792,CASRN,"50,000 – <250,000","<50,000","50,000 – <250,000","<50,000"
"1,2,3-Propanetricarboxylic acid, 2-(acetyloxy)-, 1,2,3-tributyl ester",77-90-7,77907,CASRN,"5,500,000 – <7,000,000","8,500,000 – <10,000,000","8,500,000 – <10,000,000","7,000,000 – <8,500,000"
"1,2,3-Propanetricarboxylic acid, 2-(acetyloxy)-, 1,2,3-triethyl ester",77-89-4,77894,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","250,000 – <550,000"
"1,2,3-Propanetricarboxylic acid, 2-(acetyloxy)-, 1,2,3-trihexyl ester",24817-92-3,24817923,CASRN,"<75,000","<75,000","<75,000","<75,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",77-92-9,77929,CASRN,"250,000,000 – <400,000,000","250,000,000 – <400,000,000","250,000,000 – <400,000,000","250,000,000 – <400,000,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, 1,2,3-tributyl ester",77-94-1,77941,CASRN,"1,000,000 – <2,500,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, 1,2,3-triethyl ester",77-93-0,77930,CASRN,"8,500,000 – <10,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium iron(3+) salt (1:?:?)",1185-57-5,1185575,CASRN,"<75,000","<75,000","<75,000","<75,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt (1:?)",7632-50-0,7632500,CASRN,"75,000 – <100,000","100,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt (1:2)",3012-65-5,3012655,CASRN,"400,000 – <550,000","550,000 – <700,000","250,000 – <400,000","400,000 – <550,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt (1:3)",3458-72-8,3458728,CASRN,"155,604","177,845","76,929","13,652"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium zinc salt (1:?:?)",68134-01-0,68134010,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, hydrate (1:1)",5949-29-1,5949291,CASRN,"4,729","17,497","25,063","1,419"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, iron salt (1:?)",5/8/2338,2338058,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)",10024-66-5,10024665,CASRN,"100,000 – <250,000","100,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt (1:?)",7778-49-6,7778496,CASRN,"75,000 – <100,000","75,000 – <100,000","75,000 – <100,000","50,000 – <250,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt (1:2)",3609-96-9,3609969,CASRN,"<75,000","<75,000","<75,000","<75,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt (1:3)",866-84-2,866842,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:?)",994-36-5,994365,CASRN,"48,577","37,293","33,696","29,345"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:1)",18996-35-5,18996355,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:2)",144-33-2,144332,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",68-04-2,68042,CASRN,"55,000,000 – <70,000,000","55,000,000 – <70,000,000","55,000,000 – <70,000,000","55,000,000 – <70,000,000"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, trisodium salt, dihydrate",4/3/6132,6132043,CASRN,"1,057,311","1,325,567","1,297,174","679,880"
"1,2,3-Propanetriol",56-81-5,56815,CASRN,"1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000"
"1,2,3-Propanetriol, 1,2,3-triacetate",102-76-1,102761,CASRN,"10,000,000 – <25,000,000","40,000,000 – <55,000,000","40,000,000 – <55,000,000","55,000,000 – <70,000,000"
"1,2,3-Propanetriol, 1,2,3-tribenzoate",614-33-5,614335,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2,3-Propanetriol, 1,2,3-trinitrate",55-63-0,55630,CASRN,"8,500,000 – <10,000,000","10,000,000 – <25,000,000","8,500,000 – <10,000,000","8,500,000 – <10,000,000"
"1,2,3-Propanetriol, diacetate",25395-31-7,25395317,CASRN,0,"2,116","1,587","2,116"
"1,2,4,5,7,8-Hexoxonane, 3,6,9-triethyl-3,6,9-trimethyl-",24748-23-0,24748230,CASRN,"50,000 – <250,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
"1,2,4,5-Benzenetetracarboxylic acid, 1,2,4,5-tetrakis(2-ethylhexyl) ester",3126-80-5,3126805,CASRN,"442,008","523,012","527,330","532,023"
"1,2,4,5-Benzenetetracarboxylic acid, compd. with 4,5-dihydro-2-phenyl-1H-imidazole (1:1)",54553-90-1,54553901,CASRN,"92,400","66,000","63,360","42,240"
"1,2,4,5-Benzenetetracarboxylic acid, compd. with 4,5-dihydro-2-phenyl-1H-imidazole (1:2)",54553-91-2,54553912,CASRN,"70,548","70,548","44,092","2,205"
"1,2,4-Benzenetricarboxylic acid",528-44-9,528449,CASRN,"70,500","77,300","22,200","1,220"
"1,2,4-Benzenetricarboxylic acid, 1,2,4-trihexyl ester",1528-49-0,1528490,CASRN,"<50,000","50,000 – <250,000","50,000 – <250,000","<50,000"
"1,2,4-Benzenetricarboxylic acid, 1,2,4-triisodecyl ester",36631-30-8,36631308,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","850,000 – <1,000,000","1,000,000 – <2,500,000"
"1,2,4-Benzenetricarboxylic acid, 1,2,4-triisononyl ester",53894-23-8,53894238,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,2,4-Benzenetricarboxylic acid, 1,2,4-triisotridecyl ester",72361-35-4,72361354,CASRN,"400,000 – <550,000","250,000 – <400,000","250,000 – <400,000","400,000 – <550,000"
"1,2,4-Benzenetricarboxylic acid, 1,2,4-trioctyl ester",89-04-3,89043,CASRN,"97,711","9,921","25,794","106,904"
"1,2,4-Benzenetricarboxylic acid, 1,2,4-tris(2-ethylhexyl) ester",3319-31-1,3319311,CASRN,"40,000,000 – <55,000,000","55,000,000 – <70,000,000","55,000,000 – <70,000,000","40,000,000 – <55,000,000"
"1,2,4-Benzenetricarboxylic acid, decyl octyl ester",67989-23-5,67989235,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"1,2,4-Benzenetricarboxylic acid, ester with 1,2-propanediol phosphate",68186-81-2,68186812,CASRN,"<50,000","50,000 – <250,000","50,000 – <250,000","250,000 – <550,000"
"1,2,4-Benzenetricarboxylic acid, mixed 2-ethylhexyl and stearyl triesters",206770-18-5,206770185,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2,4-Benzenetricarboxylic acid, mixed branched tridecyl and isodecyl esters",70225-05-7,70225057,CASRN,"500,000 – <1,000,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2,4-Benzenetricarboxylic acid, mixed decyl and hexyl and octyl esters",68130-50-7,68130507,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2,4-Benzenetricarboxylic acid, mixed decyl and octyl triesters",90218-76-1,90218761,CASRN,"15,873","39,683","47,619","73,193"
"1,2,4-Benzenetricarboxylic acid, mixed lauryl and octyl triesters",1163775-81-2,1163775812,CASRN,"425,263","462,818","226,194","226,194"
"1,2,4-Benzenetricarboxylic acid, tri-C7-9-branched and linear alkyl esters",68515-60-6,68515606,CASRN,"<50,000","<50,000","250,000 – <550,000","250,000 – <550,000"
"1,2,4-Benzenetricarboxylic acid, tri-C9-11-alkyl esters",94279-36-4,94279364,CASRN,0,0,0,"87,832"
"1,2,4-Benzenetricarboxylic acid, trinonyl ester, branched and linear",220582-53-6,220582536,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000","<50,000"
"1,2,4-Butanetricarboxylic acid, 2-phosphono-",37971-36-1,37971361,CASRN,"1,000,000 – <2,500,000","7,000,000 – <8,500,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000"
"1,2,4-Butanetricarboxylic acid, 2-phosphono-, sodium salt (1:?)",40372-66-5,40372665,CASRN,"1,000,000 – <2,500,000","4,000,000 – <5,500,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000"
"1,2,4-Butanetriol",3068-00-6,3068006,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2,4-Triazin-5(2H)-one, 4-amino-6-(1,1-dimethylethyl)-3,4-dihydro-3-thioxo-",33509-43-2,33509432,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","5,000,000 – <10,000,000"
"1,2-Benzenediamine",95-54-5,95545,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2-Benzenediamine, 3-methyl-",2687-25-4,2687254,CASRN,"2,500,000 – <4,000,000","1,000,000 – <2,500,000","10,000,000 – <25,000,000","1,000,000 – <2,500,000"
"1,2-Benzenediamine, 4-methyl-",496-72-0,496720,CASRN,"4,000,000 – <5,500,000","2,500,000 – <4,000,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000"
"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",117-81-7,117817,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","25,000,000 – <40,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-bis(2-methylpropyl) ester",84-69-5,84695,CASRN,"250,000 – <400,000","250,000 – <400,000","250,000 – <400,000","550,000 – <700,000"
"1,2-Benzenedicarboxylic acid, 1,2-bis(2-propylheptyl) ester",53306-54-0,53306540,CASRN,"25,000,000 – <40,000,000","40,000,000 – <55,000,000","40,000,000 – <55,000,000","25,000,000 – <40,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-di-2-propen-1-yl ester",131-17-9,131179,CASRN,"250,000 – <400,000","5,000,000 – <10,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-di-2-propen-1-yl ester, homopolymer",25053-15-0,25053150,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",84-74-2,84742,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-dicyclohexyl ester",84-61-7,84617,CASRN,"250,000 – <550,000","250,000 – <550,000","400,000 – <550,000","250,000 – <400,000"
"1,2-Benzenedicarboxylic acid, 1,2-diethyl ester",84-66-2,84662,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000"
"1,2-Benzenedicarboxylic acid, 1,2-diisodecyl ester",26761-40-0,26761400,CASRN,"250,000 – <400,000","250,000 – <400,000","850,000 – <1,000,000","250,000 – <400,000"
"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,28553120,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","40,000,000 – <55,000,000","10,000,000 – <50,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-diisooctyl ester",27554-26-3,27554263,CASRN,"<25,000","<25,000","100,000 – <250,000","25,000 – <50,000"
"1,2-Benzenedicarboxylic acid, 1,2-dimethyl ester",131-11-3,131113,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-dinonyl ester, branched and linear",68515-45-7,68515457,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-dioctyl ester",117-84-0,117840,CASRN,"<75,000","<75,000","<75,000","<75,000"
"1,2-Benzenedicarboxylic acid, 1,2-diundecyl ester",3648-20-2,3648202,CASRN,"25,000,000 – <40,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000","10,000,000 – <25,000,000"
"1,2-Benzenedicarboxylic acid, 1,2-diundecyl ester, branched and linear",85507-79-5,85507795,CASRN,"250,000 – <400,000","400,000 – <550,000","400,000 – <550,000","250,000 – <400,000"
"1,2-Benzenedicarboxylic acid, 1-[1-methyl-2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl] ester",65859-45-2,65859452,CASRN,"27,632","28,208","37,606","32,813"
"1,2-Benzenedicarboxylic acid, 1-[2-(2-hydroxyethoxy)ethyl] ester",2202-98-4,2202984,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Benzenedicarboxylic acid, 1-[2,2-dimethyl-1-(1-methylethyl)-3-(2-methyl-1-oxopropoxy)propyl] 2-(phenylmethyl) ester",16883-83-3,16883833,CASRN,"5,000,000 – <10,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000","1,000,000 – <5,000,000"
"1,2-Benzenedicarboxylic acid, 1-[2-[(1-oxo-2-propen-1-yl)oxy]ethyl] ester",30697-40-6,30697406,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2-Benzenedicarboxylic acid, 1-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl] ester",27697-00-3,27697003,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2-Benzenedicarboxylic acid, 1-butyl 2-(phenylmethyl) ester",85-68-7,85687,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"1,2-Benzenedicarboxylic acid, 1-nonyl 2-undecyl ester, branched and linear",111381-91-0,111381910,CASRN,"550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
"1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, 1,2-bis(2-ethylhexyl) ester",26040-51-7,26040517,CASRN,"7,000,000 – <8,500,000","10,000,000 – <25,000,000","8,500,000 – <10,000,000","10,000,000 – <25,000,000"
"1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, 1-[2-(2-hydroxyethoxy)ethyl] 2-(2-hydroxypropyl) ester",20566-35-2,20566352,CASRN,"<75,000","75,000 – <500,000","75,000 – <500,000","<75,000"
"1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, mixed esters with diethylene glycol and propylene glycol",77098-07-8,77098078,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrachloro-, 1,2-bis(2-ethylhexyl) ester",34832-88-7,34832887,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2-Benzenedicarboxylic acid, 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis-",3016-76-0,3016760,CASRN,0,"<50,000","<50,000","<50,000"
"1,2-Benzenedicarboxylic acid, 4,4'-carbonylbis-",2479-49-4,2479494,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
"1,2-Benzenedicarboxylic acid, 4-sulfo-",89-08-7,89087,CASRN,"50,000 – <250,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
"1,2-Benzenedicarboxylic acid, benzyl C7-9-branched and linear alkyl esters",68515-40-2,68515402,CASRN,"8,500,000 – <25,000,000","8,500,000 – <25,000,000","8,500,000 – <25,000,000","8,500,000 – <25,000,000"
"1,2-Cyclohexanediamine",694-83-7,694837,CASRN,"2,500,000 – <4,000,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000"
"1,2-Cyclohexanediamine, reaction products with N-[4-(2-oxiranylmethoxy)phenyl]-N-(2-oxiranylmethyl)-2-oxiranemethanamine",118421-10-6,118421106,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Cyclohexanedicarboxylic acid, 1-(phenylmethyl) ester, ester with 2,2,4-trimethyl-1,3-pentanediol mono(2-methylpropanoate)",1661012-65-2,1661012652,CASRN,"550,000 – <1,000,000","<50,000","1,000,000 – <5,000,000","<50,000"
"1,2-Cyclohexanedicarboxylic acid, 1,2-bis(2-oxiranylmethyl) ester",5493-45-8,5493458,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"1,2-Cyclohexanedicarboxylic acid, 1,2-dinonyl ester, branched and linear",474919-59-0,474919590,CASRN,"5,000,000 – <10,000,000","7,000,000 – <8,500,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000"
"1,2-Cyclohexanedicarboxylic acid, 1-butyl 2-(phenylmethyl) ester",1200806-67-2,1200806672,CASRN,"550,000 – <1,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2-Cyclohexanedicarboxylic acid, 4-methyl-, ester with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1)",1079350-89-2,1079350892,CASRN,"250,000 – <550,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2-Cyclohexanedicarboxylic acid, 4-methyl-, mono[3-[3-[[[2-carboxy-4(or 5)-methylcyclohexyl]carbonyl]oxy]-2,2-dimethyl-1-oxopropoxy]-2,2-dimethylpropyl] ester",1079350-84-7,1079350847,CASRN,"250,000 – <550,000","250,000 – <550,000","<50,000","250,000 – <550,000"
"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R,2S)-rel-",491589-22-1,491589221,CASRN,"550,000 – <700,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
